x,p,rho,u,energy,rho_total
-2.6352705410821646,100000.0,1.0,0.0,250000.00000000006,1.0
-2.6152304609218437,100000.0,1.0,0.0,250000.00000000006,1.0
-2.5951903807615233,100000.0,1.0,0.0,250000.00000000006,1.0
-2.5751503006012024,100000.0,1.0,0.0,250000.00000000006,1.0
-2.555110220440882,100000.0,1.0,0.0,250000.00000000006,1.0
-2.535070140280561,100000.0,1.0,0.0,250000.00000000006,1.0
-2.5150300601202407,100000.0,1.0,0.0,250000.00000000006,1.0
-2.49498997995992,100000.0,1.0,0.0,250000.00000000006,1.0
-2.4749498997995993,100000.0,1.0,0.0,250000.00000000006,1.0
-2.4549098196392785,100000.0,1.0,0.0,250000.00000000006,1.0
-2.434869739478958,100000.0,1.0,0.0,250000.00000000006,1.0
-2.4148296593186376,100000.0,1.0,0.0,250000.00000000006,1.0
-2.3947895791583167,100000.0,1.0,0.0,250000.00000000006,1.0
-2.3747494989979963,100000.0,1.0,0.0,250000.00000000006,1.0
-2.3547094188376754,100000.0,1.0,0.0,250000.00000000006,1.0
-2.334669338677355,100000.0,1.0,0.0,250000.00000000006,1.0
-2.314629258517034,100000.0,1.0,0.0,250000.00000000006,1.0
-2.2945891783567136,100000.0,1.0,0.0,250000.00000000006,1.0
-2.2745490981963927,100000.0,1.0,0.0,250000.00000000006,1.0
-2.2545090180360723,100000.0,1.0,0.0,250000.00000000006,1.0
-2.2344689378757514,100000.0,1.0,0.0,250000.00000000006,1.0
-2.214428857715431,100000.0,1.0,0.0,250000.00000000006,1.0
-2.1943887775551105,100000.0,1.0,0.0,250000.00000000006,1.0
-2.1743486973947896,100000.0,1.0,0.0,250000.00000000006,1.0
-2.154308617234469,100000.0,1.0,0.0,250000.00000000006,1.0
-2.1342685370741483,100000.0,1.0,0.0,250000.00000000006,1.0
-2.114228456913828,100000.0,1.0,0.0,250000.00000000006,1.0
-2.094188376753507,100000.0,1.0,0.0,250000.00000000006,1.0
-2.0741482965931866,100000.0,1.0,0.0,250000.00000000006,1.0
-2.0541082164328657,100000.0,1.0,0.0,250000.00000000006,1.0
-2.0340681362725452,100000.0,1.0,0.0,250000.00000000006,1.0
-2.0140280561122244,100000.0,1.0,0.0,250000.00000000006,1.0
-1.993987975951904,100000.0,1.0,0.0,250000.00000000006,1.0
-1.9739478957915835,100000.0,1.0,0.0,250000.00000000006,1.0
-1.9539078156312626,100000.0,1.0,0.0,250000.00000000006,1.0
-1.9338677354709422,100000.0,1.0,0.0,250000.00000000006,1.0
-1.9138276553106213,100000.0,1.0,0.0,250000.00000000006,1.0
-1.8937875751503008,100000.0,1.0,0.0,250000.00000000006,1.0
-1.87374749498998,100000.0,1.0,0.0,250000.00000000006,1.0
-1.8537074148296595,98937.17392885694,0.9923968058590217,2.853546426218543,249237.93926164607,0.9923968058590217
-1.8336673346693386,97705.47166171334,0.9835562534760411,6.193559786272024,248347.44153272116,0.9835562534760411
-1.8136272545090182,96486.93616248274,0.9747788169638512,9.53357314632541,247458.5374736885,0.9747788169638512
-1.7935871743486977,95281.4499287624,0.9660641577625246,12.873586506378842,246571.227084548,0.9660641577625246
